created_at,entry_id,field1,field2,field3,field4,field5,field6
2023-05-16T13:23:47Z,76400,28.10,40.60,36.56,65.50,35.50,14
2023-05-16T13:25:02Z,76401,27.60,43.50,36.56,65.60,35.30,14
2023-05-16T13:25:30Z,76402,27.90,40.70,36.63,66.10,35.40,18
2023-05-16T13:26:14Z,76403,27.10,39.30,36.63,,,
2023-05-16T13:26:58Z,76404,28.10,41.30,36.50,65.80,35.30,18
2023-05-16T13:27:19Z,76405,28.20,37.70,36.44,65.90,35.30,13
2023-05-16T13:30:41Z,76406,27.40,39.30,36.69,66.30,35.00,14
2023-05-16T13:32:53Z,76407,27.60,42.10,36.63,66.00,35.40,18
2023-05-16T13:33:31Z,76408,28.30,40.00,36.63,65.30,35.50,13
2023-05-16T13:33:51Z,76409,27.40,41.90,36.50,66.60,35.30,14
2023-05-16T13:34:53Z,76410,26.70,38.80,36.38,67.20,35.30,16
2023-05-16T13:35:15Z,76411,26.60,39.00,36.38,68.20,34.20,20
2023-05-16T13:37:19Z,76412,25.80,37.70,36.38,62.60,34.20,15
2023-05-16T13:37:40Z,76413,26.20,38.20,36.38,69.70,34.30,16
2023-05-16T13:38:21Z,76414,27.00,40.30,36.31,69.40,34.40,16
2023-05-16T13:40:12Z,76415,27.40,39.90,36.13,70.00,34.20,14
2023-05-16T13:40:33Z,76416,27.50,38.30,36.13,70.00,34.20,16
2023-05-16T13:41:14Z,76417,27.00,40.50,36.13,70.10,34.10,17
2023-05-16T13:41:35Z,76418,26.90,37.90,36.06,70.40,34.10,16
2023-05-16T13:41:55Z,76419,27.20,36.80,36.06,70.40,34.00,16
2023-05-16T13:42:15Z,76420,27.80,37.00,36.06,70.60,33.90,14
2023-05-16T13:42:36Z,76421,27.80,38.70,36.06,70.70,33.90,15
2023-05-16T13:42:56Z,76422,27.40,39.70,36.00,70.40,33.90,16
2023-05-16T13:43:18Z,76423,26.20,35.00,36.06,70.40,34.10,16
2023-05-16T13:43:38Z,76424,27.10,36.10,36.00,71.10,33.80,14
2023-05-16T13:43:59Z,76425,26.20,34.60,36.00,70.50,33.80,16
2023-05-16T13:44:20Z,76426,27.10,37.50,36.00,70.40,34.00,15
2023-05-16T13:44:40Z,76427,27.40,38.90,36.00,70.50,33.80,16
2023-05-16T13:44:59Z,76428,26.90,37.30,35.94,70.50,33.80,16
2023-05-16T13:45:19Z,76429,27.50,38.20,35.94,70.70,33.70,16
2023-05-16T13:45:39Z,76430,26.70,35.90,35.94,70.60,33.80,16
2023-05-16T13:46:40Z,76431,27.40,37.20,35.88,70.90,33.80,16
2023-05-16T13:47:00Z,76432,28.00,39.20,35.88,71.00,33.70,16
2023-05-16T13:47:19Z,76433,27.30,37.70,35.88,70.90,33.90,14
2023-05-16T13:47:59Z,76434,27.00,36.60,35.88,70.20,34.10,16
2023-05-16T13:48:18Z,76435,27.10,36.90,35.88,71.00,34.00,16
2023-05-16T13:48:58Z,76436,26.30,39.40,35.88,70.60,33.90,15
2023-05-16T13:49:18Z,76437,27.70,41.70,35.81,70.70,33.70,16
2023-05-16T13:49:39Z,76438,26.70,37.30,35.81,70.40,34.00,16
2023-05-16T13:49:58Z,76439,25.90,37.60,35.88,70.60,33.90,17
2023-05-16T13:50:18Z,76440,26.10,39.20,35.88,70.60,33.70,15
